kx,ky,kxy,rmse,corr
1,1,1,54.62207496897255,0.813007762518565
1,2,1,54.45771314727026,0.8118685324857572
1,3,1,54.495858105511374,0.8110694810448229
1,4,1,54.24545540840294,0.8146623028781851
1,5,1,54.26586856454183,0.814018304720869
1,6,1,54.23621732583612,0.8140095845152664
1,7,1,54.225245943304856,0.8135849128362529
1,8,1,54.22899938883954,0.8135210142266984
1,9,1,54.2455155636378,0.8136607027301243
1,10,1,54.24804436587615,0.8137797283474585
2,1,1,54.68050222168713,0.7677170583888522
2,2,1,53.3851143000125,0.6260006588651166
2,2,2,50.093060761359425,0.813558095023017
2,3,1,54.91552770642826,0.6840950681458983
2,3,2,49.41634712127396,0.8113177152415927
2,4,1,54.436027153588114,0.7746490648543802
2,4,2,48.93308456671898,0.833089406867012
2,5,1,53.76414153547312,0.7878117206648159
2,5,2,49.0167532503294,0.8312707544658431
2,6,1,53.60603558723623,0.8244456935295544
2,6,2,48.924467743938415,0.8300215017643918
2,7,1,53.79141841781894,0.8186181010022426
2,7,2,48.927198013705144,0.8312299228948519
2,8,1,54.58354559262008,0.8269608155027193
2,8,2,48.9280114036266,0.8308240017015835
2,9,1,54.30598875683557,0.7941718659872173
2,9,2,48.92854538614329,0.8293680559495819
2,10,1,54.28724555035123,0.7706613786360277
2,10,2,48.92737226107747,0.8293447047697298
3,1,1,53.71640281626211,0.8549660795219017
3,2,1,52.90615659321972,0.6825172130840652
3,2,2,48.20901478791222,0.9129595038659766
3,3,1,55.35263010237464,0.6870273152937012
3,3,2,51.85676042359622,0.696694883861296
3,3,3,46.60189768176261,0.8943414495438439
3,4,1,55.71040506278354,0.7022962730228838
3,4,2,50.48724061263911,0.7857876896660029
3,4,3,45.474886308966,0.9187770383090333
3,5,1,54.501185525792245,0.7577042518222383
3,5,2,50.22963230612451,0.7871032163063019
3,5,3,45.57837336276642,0.918361079955244
3,6,1,54.59988518157815,0.7823066340796154
3,6,2,50.45282976103612,0.7595041729042801
3,6,3,45.60230874735969,0.919722533485236
3,7,1,54.89897991792321,0.7670780155279618
3,7,2,49.97820304641621,0.7658730558417473
3,7,3,45.604513620824214,0.9199301327601127
3,8,1,54.97161070369475,0.7991755581809072
3,8,2,50.118876587322696,0.782302449991849
3,8,3,45.56624470342966,0.9221268908458843
3,9,1,54.610406452699685,0.7641274761942524
3,9,2,50.44208114472825,0.7626679596992212
3,9,3,45.56985210986643,0.9217111751134867
3,10,1,54.86322628104085,0.7197525657897396
3,10,2,50.46151217160049,0.7412420457565564
3,10,3,45.57502725257104,0.9215824319298496
4,1,1,52.87282450535678,0.8742383740999574
4,2,1,52.60713064216968,0.8463827259856379
4,2,2,47.129414968950634,0.9206277650271246
4,3,1,54.21253994747723,0.8073979167958922
4,3,2,48.71807808887178,0.8695908155499648
4,3,3,45.14284027232988,0.9106406554298074
4,4,1,55.145405135109975,0.7965220986295103
4,4,2,48.45181462906656,0.8845844217935909
4,4,3,44.839454706161206,0.9260631392291466
4,4,4,43.09455562034197,0.9317850460016824
4,5,1,55.089331739592886,0.6993536955068325
4,5,2,51.971257187281864,0.7762947836711932
4,5,3,45.250248601992354,0.9264250723352895
4,5,4,42.983270093860895,0.9322778216293429
4,6,1,55.04319328206399,0.7960842642108993
4,6,2,51.85214214821905,0.7772327605170878
4,6,3,45.00662315212838,0.9253198936897292
4,6,4,42.92169203676679,0.932475018865582
4,7,1,55.2751700305945,0.7865455201115362
4,7,2,51.72385230295879,0.7752445881391575
4,7,3,44.84446169812916,0.9285101754528162
4,7,4,42.92374081234545,0.9333990977885332
4,8,1,55.41826747062458,0.7984186368662414
4,8,2,52.12418890575211,0.8227122651432479
4,8,3,45.41845984338173,0.9156832793551529
4,8,4,42.885843024667544,0.9342368582762892
4,9,1,55.27714173950513,0.7682782764878957
4,9,2,52.71864639705436,0.755789615213481
4,9,3,44.46839259312216,0.8967677448998452
4,9,4,42.96349409744706,0.9333951942675892
4,10,1,57.031812397351,0.6057316388319517
4,10,2,51.73976529273413,0.8108364303959759
4,10,3,44.27880583254374,0.8816279128184101
4,10,4,42.97024763197458,0.9333214694387769
5,1,1,52.821024189917544,0.8502364055282114
5,2,1,52.89317060132409,0.8490209744571618
5,2,2,47.05532576546934,0.8968260722688159
5,3,1,57.150457910349914,0.6614391266614235
5,3,2,49.87554243314832,0.8731661556030115
5,3,3,45.132397499504876,0.8941566617103537
5,4,1,58.87707859333528,0.5226747411703386
5,4,2,52.96158667666002,0.8381578668811421
5,4,3,45.565521300217966,0.9102752307955081
5,4,4,42.74756006363822,0.9367246342500499
5,5,1,55.89832488271564,0.6388235385189213
5,5,2,51.76017936183094,0.752054350395232
5,5,3,46.36056749644999,0.8763618533630823
5,5,4,43.60813337813009,0.9339893528677088
5,5,5,42.0684595328811,0.9380905978205955
5,6,1,55.97997513883974,0.6853162835730002
5,6,2,51.239032915656324,0.8269713550227411
5,6,3,45.90379049101544,0.859223866887919
5,6,4,43.71463937784437,0.9216531483685677
5,6,5,42.01356584990605,0.9377000145924846
5,7,1,56.60000233040749,0.6637222418868254
5,7,2,50.95359283691806,0.8083055858077889
5,7,3,45.801964450062435,0.8594004402457335
5,7,4,43.68218602360361,0.921126942251317
5,7,5,41.917281250310836,0.9401632113361906
5,8,1,55.6670078626481,0.6995126592483184
5,8,2,51.60721901574437,0.821572941052376
5,8,3,45.85274191023445,0.8627175669784535
5,8,4,43.91930786087947,0.9129787155296041
5,8,5,41.91373595783678,0.9404881624929669
5,9,1,56.37808913599397,0.666785083790919
5,9,2,52.77668892406194,0.7762571107727831
5,9,3,45.5481897427141,0.8462583042638424
5,9,4,43.97188234254628,0.8978877432376081
5,9,5,42.050287977177284,0.9393960531170804
5,10,1,61.2380920936339,0.21247572747806415
5,10,2,52.40861123558766,0.7448007696341895
5,10,3,45.23166231261929,0.8542624306063265
5,10,4,44.30999169207578,0.8772269092252247
5,10,5,42.1012168885523,0.9393318545143539
6,1,1,52.85024283720516,0.8457485965275489
6,2,1,53.72992277466961,0.8561129113047159
6,2,2,47.03502855129684,0.8957606747385244
6,3,1,57.09355756035462,0.6985190404324163
6,3,2,52.15573988833029,0.8076951846242663
6,3,3,45.06064702202781,0.892736482056918
6,4,1,60.28379115957292,0.4047327193926344
6,4,2,54.26860380403412,0.8453378662767519
6,4,3,45.47243335750619,0.9109240822635779
6,4,4,42.70721817653013,0.9341573316695913
6,5,1,57.46875674591723,0.5858069201158651
6,5,2,51.375155627700636,0.8230261070142025
6,5,3,46.0542278408445,0.888582652413872
6,5,4,43.7144172370893,0.9162307963832688
6,5,5,42.03866911481991,0.9365510938326218
6,6,1,55.369007508533656,0.7609736170900722
6,6,2,51.73589657974351,0.8329038943566502
6,6,3,46.08234678252656,0.8786235913792163
6,6,4,43.45429993875492,0.9164691396099154
6,6,5,42.71112976736194,0.9180623042965119
6,6,6,41.95194107211542,0.9344715210955824
6,7,1,55.305571247668745,0.730152457366834
6,7,2,51.767028508980225,0.8335675426777887
6,7,3,45.87839514608914,0.8835655430244526
6,7,4,43.41426664333118,0.9187313597739433
6,7,5,42.907245535262525,0.916551480174725
6,7,6,41.83445015404286,0.9381323511086643
6,8,1,56.36041672540698,0.675148876660735
6,8,2,52.07575554008007,0.8175169412221417
6,8,3,47.41019829807993,0.8667713289980016
6,8,4,44.13752527204403,0.8927078014037956
6,8,5,43.447382397567,0.9131367048110463
6,8,6,41.83502067818975,0.9373816171329273
6,9,1,56.76818652167886,0.6735347835724571
6,9,2,52.189312459908756,0.8096045264976642
6,9,3,47.72755968776809,0.8600129085241606
6,9,4,43.91016075478442,0.8778449622970274
6,9,5,43.07270736902418,0.8972634139062884
6,9,6,41.870102528804665,0.9361314139375999
6,10,1,59.58183765442018,0.37795124452495377
6,10,2,51.566793135667076,0.7609609393157346
6,10,3,46.56144518554617,0.8702478290244705
6,10,4,44.32170113102322,0.8673669476716044
6,10,5,42.95359327789829,0.889543761569459
6,10,6,41.91276751267736,0.9367646169818691
7,1,1,52.91888883982113,0.8371280219481949
7,2,1,53.99870736789289,0.8455141070393593
7,2,2,47.24587178030375,0.8930266098752795
7,3,1,59.61640563528003,0.533130077201971
7,3,2,52.63535575902688,0.808789259416139
7,3,3,45.29488853551446,0.8869822952149189
7,4,1,62.13443882212586,0.2758383606908884
7,4,2,54.1392193232231,0.8238320931309397
7,4,3,45.714022928927726,0.9171538335313262
7,4,4,42.79079180616372,0.9326638527906986
7,5,1,61.1795297065298,0.3013111539653505
7,5,2,51.73663221879442,0.7974637035709409
7,5,3,48.44853941817557,0.8493325830208829
7,5,4,43.88688354203783,0.9119966930818418
7,5,5,42.2152835515257,0.9324181013868464
7,6,1,56.736656468282376,0.6996399787599986
7,6,2,52.09517035310514,0.8465712407472571
7,6,3,47.884857605030554,0.8663569537006719
7,6,4,43.677557217094005,0.9077319288260133
7,6,5,42.604574262599435,0.9203414399293984
7,6,6,42.0387184163831,0.9296301903299986
7,7,1,57.4235967415366,0.6473345971333693
7,7,2,51.938907598752365,0.8371888654597716
7,7,3,47.136833420479896,0.8489031506702065
7,7,4,43.91346251487587,0.9017132542133331
7,7,5,42.739542407743976,0.9142642369395898
7,7,6,41.988472716919716,0.9331248485807166
7,7,7,41.941841994103626,0.9344884958162568
7,8,1,56.4734671407697,0.6934739308016059
7,8,2,52.44331738720588,0.8084229398360312
7,8,3,47.360892199332994,0.8559669149800598
7,8,4,45.3869362747702,0.870680676250104
7,8,5,44.160941269352385,0.8962879146765611
7,8,6,41.81235665690765,0.9362849803608637
7,8,7,41.92240878184955,0.935919118404889
7,9,1,58.598179762378436,0.5555357771208215
7,9,2,53.90504951857307,0.8001051118507162
7,9,3,49.54339549127124,0.8257084690623681
7,9,4,44.395120391593004,0.8571553962369812
7,9,5,43.54498203322065,0.8650581416160379
7,9,6,41.84325496788784,0.9348966010566001
7,9,7,41.866044234651,0.9347884204593738
7,10,1,59.754385494747886,0.19745546530927816
7,10,2,53.13923696373101,0.7820697210094609
7,10,3,46.69571086664013,0.8627953138982977
7,10,4,44.25617832181707,0.8641001653759416
7,10,5,42.83402014148796,0.8822435723611047
7,10,6,42.72515668839902,0.9215779770737299
7,10,7,41.91423583057864,0.9349039810928289
8,1,1,52.74430181022994,0.8363755302000648
8,2,1,53.138089736393916,0.8793301159532507
8,2,2,47.06926048394427,0.895559991289989
8,3,1,59.28241572262828,0.5702936773228386
8,3,2,52.26212574923801,0.8496240931412855
8,3,3,45.114054819132946,0.888628305392242
8,4,1,62.139347161916056,0.3008289521625477
8,4,2,52.91422232749749,0.865578973608766
8,4,3,45.38662988948566,0.9122768512837189
8,4,4,42.61512880447381,0.9370709840189716
8,5,1,59.45964998123517,0.4780612202747553
8,5,2,51.041365332010166,0.8094265999483476
8,5,3,47.79681270972118,0.8427216756075259
8,5,4,43.78314752666429,0.9117640450504465
8,5,5,42.1139408883863,0.93695917938264
8,6,1,57.22243154932858,0.6574475269135868
8,6,2,51.42736678676906,0.8647657862751591
8,6,3,47.548410006212485,0.8701171992069078
8,6,4,43.86118690083453,0.9111123408896845
8,6,5,43.101458816874256,0.915042557273965
8,6,6,41.91342234181695,0.9337864189321726
8,7,1,57.45519991582301,0.6461054763072147
8,7,2,51.39506107411697,0.8616535797452178
8,7,3,46.81926916170297,0.8578635657445728
8,7,4,44.048410486024125,0.9074241072711066
8,7,5,43.60187602008034,0.9087909640319861
8,7,6,42.23952796239617,0.9271802227123345
8,7,7,41.78869770462384,0.9390904667916692
8,8,1,58.46986130044692,0.5906137409154377
8,8,2,51.861937520940145,0.8311166717526831
8,8,3,47.097835925079615,0.8706834582788083
8,8,4,45.61980186852548,0.8529995188429951
8,8,5,43.99539446865545,0.9056603180178704
8,8,6,42.45988277661272,0.9299372008949247
8,8,7,41.99490175435081,0.9320297203478661
8,8,8,41.658294026206036,0.9400073951381698
8,9,1,59.88585459764725,0.4558617123377808
8,9,2,52.041031217148,0.790205462840498
8,9,3,47.218775001518885,0.8524823729450158
8,9,4,44.2596816430911,0.8704641183148004
8,9,5,43.55996921084627,0.8714686269283141
8,9,6,42.181449316758474,0.9264051001940177
8,9,7,41.78683927858536,0.9392281987036843
8,9,8,41.66097069659251,0.9391611015147137
8,10,1,60.673582134864176,-0.17799409698260601
8,10,2,52.83327614937671,0.7534944262366112
8,10,3,44.91881465796424,0.8895943058851432
8,10,4,44.10652226875712,0.8776671192298513
8,10,5,42.83182717110995,0.8872912043898287
8,10,6,42.475694464052474,0.930718315101683
8,10,7,42.225337452978934,0.9265177074813297
8,10,8,41.684781467744386,0.939058898895213
9,1,1,52.99166462140049,0.8255005287708971
9,2,1,57.47068675451753,0.6822855040340224
9,2,2,47.4573338958102,0.8823332755208244
9,3,1,58.941455590671,0.642768963150935
9,3,2,56.187860052416895,0.6969407013184683
9,3,3,45.500342377954034,0.8732576080631861
9,4,1,62.077068829651395,0.35228650371523934
9,4,2,56.87342098287881,0.706073305334563
9,4,3,45.387211706462175,0.8787527697555874
9,4,4,43.09022587253017,0.9290855829868139
9,5,1,59.55211562500828,0.580337266067314
9,5,2,53.731209823339945,0.8163632569249237
9,5,3,47.53530042024035,0.8218218712394554
9,5,4,44.154221159604994,0.9027397530846155
9,5,5,42.54400993280515,0.9275546624137081
9,6,1,60.09488003357557,0.4954180126134633
9,6,2,53.572318075016035,0.8149437948359546
9,6,3,47.49530988739967,0.8392055722986667
9,6,4,44.69682740871613,0.8680995310218961
9,6,5,43.86265351192026,0.8867126689477832
9,6,6,42.2319424153843,0.9222335786467135
9,7,1,60.501245007023066,0.4349483615134574
9,7,2,53.455638008546245,0.8174860368729204
9,7,3,47.33484471554412,0.8360396390517238
9,7,4,45.005884822966486,0.8703567852295029
9,7,5,44.21854648044709,0.8813824292727716
9,7,6,42.59613446187674,0.9102511157445183
9,7,7,42.16012048622608,0.9279462253995797
9,8,1,61.60975925677135,0.25285074637866967
9,8,2,54.4678340356331,0.7903438823572257
9,8,3,47.777805532342654,0.840744668838824
9,8,4,46.3477971819806,0.8327800459373464
9,8,5,44.289653290717396,0.8783547707396773
9,8,6,42.79484992428219,0.9002883129907729
9,8,7,42.234385401940166,0.9183167549875784
9,8,8,41.99726857292627,0.9310485418879685
9,9,1,61.46263393851643,0.20469031021374792
9,9,2,54.57225253711415,0.7589189165826651
9,9,3,47.28880266437528,0.8424665167045271
9,9,4,45.46889430178313,0.8314496638348714
9,9,5,44.32771149956502,0.8506200648350847
9,9,6,42.792146931897115,0.8963037321006453
9,9,7,41.770442591381126,0.9253354866198028
9,9,8,41.914704949853224,0.9291293632952784
9,9,9,41.98648047121146,0.9295986835805418
9,10,1,60.9082039007587,0.2174887479897668
9,10,2,58.56699004383109,0.4358985332548995
9,10,3,45.99097517924441,0.855912494265165
9,10,4,44.96703082230212,0.8426985718779852
9,10,5,43.909935836790844,0.8560206279457752
9,10,6,42.741047496367685,0.9098239089216318
9,10,7,42.482376708849955,0.9162642604687316
9,10,8,41.95179437327501,0.9302096258694906
9,10,9,42.05200395957938,0.929264259057537
10,1,1,53.0494170521168,0.8142145373160982
10,2,1,58.30986799070706,0.518487837598139
10,2,2,47.059044525539605,0.8752723920722989
10,3,1,57.96960196234627,0.6240856409604839
10,3,2,55.05976105608823,0.7146752706078122
10,3,3,45.05398626889378,0.8657430986528873
10,4,1,62.099399499765184,0.3283635077813615
10,4,2,56.58584466692568,0.602526501846712
10,4,3,44.82433482834636,0.8655520872675277
10,4,4,42.6570413488772,0.9271792387565907
10,5,1,60.24748178238278,0.5031362981336349
10,5,2,54.0561467644321,0.8313539269111863
10,5,3,45.7213577566282,0.8381018251433443
10,5,4,43.458145606444745,0.9073354164211327
10,5,5,42.294840794832275,0.9230266630775696
10,6,1,59.58317355831602,0.4671666688831397
10,6,2,54.29311996663184,0.7944272483072453
10,6,3,45.26031778111587,0.8539272564873611
10,6,4,43.91799858432689,0.8719303207396683
10,6,5,43.10634719011071,0.8774611582126082
10,6,6,41.98024709273796,0.9194117924185331
10,7,1,59.70307467633477,0.4689047885559119
10,7,2,54.287507600804375,0.7997258810260685
10,7,3,45.506267521992434,0.8551954608947437
10,7,4,43.98435651527762,0.8697134329422062
10,7,5,43.200541527684436,0.8802860949756652
10,7,6,42.290175986803405,0.9089668000053268
10,7,7,41.89040142145437,0.9273921811064475
10,8,1,60.7191552016707,0.3351703076599776
10,8,2,55.592744082435225,0.7638275361959543
10,8,3,46.59717219501343,0.8580292100523831
10,8,4,44.88961185182903,0.853047123415219
10,8,5,43.5108785361323,0.8615803595538231
10,8,6,42.278405286375694,0.8977357303082767
10,8,7,41.85950264038228,0.9180165123335348
10,8,8,41.686489404715616,0.9309091562507557
10,9,1,60.94383800124151,0.3401015910168536
10,9,2,56.97862703836779,0.47583718198641384
10,9,3,45.9548214816868,0.8516521791478838
10,9,4,44.34690878957846,0.8442790732075667
10,9,5,43.71534930878432,0.8374303490615829
10,9,6,42.33096498858092,0.8981285662502013
10,9,7,41.4071662652279,0.9258291532922673
10,9,8,41.46705244145499,0.9319574527842932
10,9,9,41.697628400338786,0.9306597251077836
10,10,1,60.82295529786235,0.342985282951107
10,10,2,56.9930070067867,0.41703194567761237
10,10,3,45.572931735647394,0.8566039450205554
10,10,4,44.28663950120456,0.8539701484235611
10,10,5,43.45257143170705,0.8621105903884092
10,10,6,42.3927771683567,0.9126854219145831
10,10,7,42.33814507608181,0.9174424111315733
10,10,8,41.58799494250472,0.9300599734811886
10,10,9,41.73649915248626,0.9310754562956268
10,10,10,41.81931911178964,0.9303853906935452
